Language,Apertus-Eng,Apertus-Trans,GPT-Trans,GPT-Eng
arb.Arab,0.097,0.357,0.735,0.807
ces.Latn,0.053,0.162,0.747,0.816
cmn.Hani,0.067,0.116,0.224,0.810
deu.Latn,0.072,0.667,0.769,0.821
fra.Latn,0.065,0.572,0.714,0.809
ind.Latn,0.086,0.621,0.737,0.804
ita.Latn,0.090,0.312,0.690,0.831
jpn.Jpan,0.066,0.253,0.104,0.776
kor.Hang,0.055,0.123,0.090,0.787
nld.Latn,0.041,0.346,0.711,0.827
pol.Latn,0.056,0.404,0.781,0.793
por.Latn,0.061,0.426,0.833,0.823
ron.Latn,0.072,0.448,0.784,0.838
rus.Cyrl,0.078,0.236,0.746,0.807
spa.Latn,0.059,0.613,0.779,0.830
tur.Latn,0.074,0.005,0.656,0.800
