Language,Apertus-Eng,Apertus-Trans,GPT-Trans,GPT-Eng
arb.Arab,85.3%,50.5%,16.5%,11.5%
ces.Latn,89.5%,64.9%,16.5%,7.9%
cmn.Hani,89.0%,77.7%,18.8%,8.4%
deu.Latn,88.2%,20.4%,13.4%,8.9%
fra.Latn,88.7%,26.7%,18.6%,12.3%
ind.Latn,84.8%,22.0%,17.0%,10.5%
ita.Latn,85.6%,58.4%,23.3%,8.1%
jpn.Jpan,86.6%,62.3%,18.1%,10.7%
kor.Hang,89.5%,58.9%,17.0%,12.8%
nld.Latn,88.7%,46.9%,13.4%,5.8%
pol.Latn,91.4%,46.6%,12.6%,9.9%
por.Latn,87.7%,46.1%,7.9%,8.1%
ron.Latn,88.0%,38.0%,9.9%,7.1%
rus.Cyrl,87.7%,65.7%,18.3%,9.9%
spa.Latn,88.7%,29.1%,12.3%,8.6%
tur.Latn,88.2%,97.6%,18.1%,7.9%
