Language,Apertus Δ,Apertus %,GPT Δ,GPT %
arb.Arab,+0.260,+268.9%,-0.072,-8.9%
ces.Latn,+0.109,+206.8%,-0.069,-8.5%
cmn.Hani,+0.049,+73.2%,-0.586,-72.4%
deu.Latn,+0.595,+826.8%,-0.052,-6.3%
fra.Latn,+0.507,+774.0%,-0.095,-11.7%
ind.Latn,+0.535,+624.0%,-0.067,-8.3%
ita.Latn,+0.222,+245.3%,-0.141,-17.0%
jpn.Jpan,+0.187,+280.8%,-0.672,-86.6%
kor.Hang,+0.069,+125.7%,-0.697,-88.5%
nld.Latn,+0.305,+746.4%,-0.116,-14.0%
pol.Latn,+0.348,+622.8%,-0.011,-1.4%
por.Latn,+0.365,+599.5%,+0.011,+1.3%
ron.Latn,+0.376,+521.8%,-0.054,-6.4%
rus.Cyrl,+0.158,+202.5%,-0.061,-7.5%
spa.Latn,+0.554,+945.8%,-0.051,-6.1%
tur.Latn,-0.069,-93.8%,-0.144,-18.0%
